subclass,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm
144 MM Foxb1 Glut,0,0,0,0,3464,1,3,1,0,4,0,0,0,1,0,0,114,0,0,0,0,0,34,0
145 MH Tac2 Glut,0,0,0,28,0,0,8,0,0,0,0,0,4722,520,0,714,78,0,1,0,0,0,184,0
146 LH Pou4f1 Sox1 Glut,0,0,0,3,0,0,5,0,0,0,0,0,1293,1,0,4,11,0,0,0,0,0,197,0
147 AD Serpinb7 Glut,0,0,0,0,0,0,0,0,0,0,0,0,864,9,0,0,67,0,0,0,0,0,48,0
148 AV Col27a1 Glut,0,0,0,0,0,0,1,0,0,0,0,0,1039,11,0,1,22,0,0,0,0,0,40,0
149 PVT-PT Ntrk1 Glut,0,0,0,0,177,0,6,0,0,0,0,0,3194,172,0,0,31,0,0,0,21,0,45,0
150 CM-IAD-CL-PCN Sema5b Glut,0,0,0,0,0,0,1,0,0,0,0,0,1297,0,0,0,1,0,0,0,0,0,17,0
151 TH Prkcd Grin2c Glut,0,0,0,257,160,0,56,0,0,0,3,0,21624,2,0,4,172,0,206,0,196,250,139,0
152 RE-Xi Nox4 Glut,0,0,0,1,54,0,13,0,5,0,0,0,920,0,0,0,0,0,0,0,0,0,12,0
153 MG-POL-SGN Nts Glut,0,0,0,0,0,0,13,0,1,0,0,0,46,0,0,1,1,0,0,0,0,0,0,0
154 PF Fzd5 Glut,0,0,0,0,20,0,376,1,1,0,0,0,3019,1,0,0,0,0,7,0,0,0,98,0
155 PRC-PAG Pax6 Glut,0,0,0,2,0,0,442,0,0,2,1,0,28,1,1,1,7,1,33,2,0,0,5,0
156 MB-ant-ve Dmrta2 Glut,0,0,0,0,19,0,411,2,0,2,1,0,37,0,0,0,0,2,16,20,0,0,13,0
157 RN Spp1 Glut,0,0,0,0,0,0,265,6,0,3,0,0,0,0,0,0,0,1,2,41,0,0,2,0
158 MRN-PAG Nkx6-1 Glut,0,0,0,0,0,0,54,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0
159 IF-RL-CLI-PAG Foxa1 Glut,2,0,0,0,63,0,456,2,1,20,0,2,3,1,0,0,1,3,3,58,0,0,27,0
160 PAG-SC Neurod2 Meis2 Glut,3,0,0,0,0,0,785,1,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0
161 PAG Pou4f3 Glut,4,0,0,0,0,0,866,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
162 CUN Evx2 Lhx2 Glut,2,28,0,0,0,0,812,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0
163 APN C1ql2 Glut,0,0,0,0,0,0,1640,1,0,0,0,1,83,0,0,0,22,0,22,0,0,0,0,0
164 APN C1ql4 Glut,0,0,0,0,0,1,1043,0,0,0,0,0,27,0,0,0,3,0,9,0,0,0,0,0
165 PAG-MRN Pou3f1 Glut,3,0,0,0,0,0,1009,0,1,13,0,0,1,0,0,0,0,11,1,3,0,0,0,0
166 MRN Pou3f1 C1ql4 Glut,0,0,0,0,0,0,91,0,0,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0
167 PRC-PAG Tcf7l2 Irx2 Glut,0,0,0,0,43,0,619,1,19,0,10,1,134,3,0,0,7,0,21,0,0,0,3,0
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,0,5,0,30,232,0,1998,1,0,3,14,2,1681,24,0,1,34,0,94,0,13,72,49,0
169 PAG-SC Pou4f1 Zic1 Glut,6,0,0,0,1,0,1606,0,0,0,0,0,0,0,0,0,2,0,43,0,0,0,0,0
170 PAG-MRN Tfap2b Glut,4,19,0,0,1,0,625,0,0,5,0,0,1,0,3,0,1,1,1,0,0,1,0,0
171 PAG Pou4f1 Bnc2 Glut,1,1,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
172 PAG Pou4f1 Ebf2 Glut,33,1,0,0,0,0,1631,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
173 PAG Pou4f2 Glut,6,0,0,0,0,0,2240,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
174 PAG Pou4f2 Mesi2 Glut,20,0,0,0,0,0,1065,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
175 SC Bnc2 Glut,0,0,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0
176 SCig Foxb1 Glut,0,1,0,0,0,0,2565,1,2,0,1,1,2,0,0,0,1,0,11,0,0,0,0,0
177 SCig-an-PPT Foxb1 Glut,0,0,0,3,0,2,1718,0,1,0,0,0,1,2,0,0,42,0,9,0,0,0,1,0
178 SCig Foxb1 Otx2 Glut,0,0,0,0,0,0,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179 SCdg-PAG Tfap2b Glut,0,0,0,0,0,0,628,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
180 SCiw Pitx2 Glut,0,0,0,0,0,0,2952,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0
181 IC Tfap2d Maf Glut,69,1006,0,4,0,0,28423,0,2,3,0,1,2,0,0,0,19,0,123,0,0,2,0,0
182 CUN-PPN Evx2 Meis2 Glut,0,18,0,0,0,0,1379,3,0,412,2,2,0,0,3,0,2,80,43,4,0,0,0,0
183 PBG Mtnr1a Glut-Chol,0,0,0,0,0,0,366,0,0,0,0,1,0,0,0,0,66,0,32,0,0,0,0,0
184 PAG Tcf24 Glut,0,0,0,0,18,0,25,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,1,0
185 SCig Tfap2b Chrnb3 Glut,0,0,0,0,0,0,892,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
186 SCop Pou4f2 Neurod2 Glut,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
187 SCsg Pde5a Glut,0,1,0,18,0,58,3935,0,0,0,1,0,0,0,0,0,32,0,0,0,0,0,0,0
188 SCop Sln Glut,0,0,0,0,0,0,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189 PAG Ucn Glut,0,0,0,0,1,0,152,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0
190 ND-INC Foxd2 Glut,0,0,0,0,51,0,763,0,0,2,0,0,19,0,0,0,0,0,6,8,0,0,66,0
191 PAG-MRN Rln3 Gaba,0,0,0,0,1,0,113,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0
192 PPN-CUN-PCG Otp En1 Gaba,0,14,0,0,0,0,567,0,0,234,1,0,0,0,0,0,0,27,44,14,0,0,1,0
193 MRN-PPN-CUN Pax8 Gaba,0,34,0,0,0,0,312,0,0,61,0,0,0,0,1,0,0,25,1,4,0,0,0,0
194 MRN-VTN-PPN Pax5 Cdh23 Gaba,5,1,0,0,1,0,603,0,0,96,0,0,0,0,0,0,0,39,4,20,0,0,1,0
195 SNr-VTA Pax5 Npas1 Gaba,0,0,0,0,1,0,643,0,0,20,0,0,0,0,0,0,8,1,40,18,0,108,4,0
196 PAG-PPN Pax5 Sox21 Gaba,23,15,0,0,0,0,879,0,0,62,0,0,0,0,2,0,0,10,14,22,0,1,1,0
197 SNr Six3 Gaba,0,0,0,2,1,0,454,0,0,2,0,0,0,0,0,0,1,2,6,1,1,46,1,0
198 IC Six3 En2 Gaba,10,117,0,0,0,0,4625,1,0,9,0,0,1,0,0,0,16,0,97,0,0,0,0,0
199 PAG-MRN-RN Foxa2 Gaba,2,0,0,0,1,0,816,1,0,11,0,1,0,0,0,0,0,14,4,27,0,13,4,0
